CBSA,MSA,n_lawyers,n_labeled_lawyers,n_zero_label_lawyers,Bankruptcy Law_binary_count,Civil Litigation_binary_count,Corporate / Business Law_binary_count,Criminal Defense_binary_count,Employment / Labor Law_binary_count,Estate Planning / Probate / Trusts_binary_count,Family Law_binary_count,General Practice / Other_binary_count,Immigration Law_binary_count,Intellectual Property Law_binary_count,Personal Injury / Torts_binary_count,Real Estate Law_binary_count,Tax Law_binary_count,Bankruptcy Law_normalized_1overN_count,Civil Litigation_normalized_1overN_count,Corporate / Business Law_normalized_1overN_count,Criminal Defense_normalized_1overN_count,Employment / Labor Law_normalized_1overN_count,Estate Planning / Probate / Trusts_normalized_1overN_count,Family Law_normalized_1overN_count,General Practice / Other_normalized_1overN_count,Immigration Law_normalized_1overN_count,Intellectual Property Law_normalized_1overN_count,Personal Injury / Torts_normalized_1overN_count,Real Estate Law_normalized_1overN_count,Tax Law_normalized_1overN_count,Bankruptcy Law_normalized_1overN_share,Civil Litigation_normalized_1overN_share,Corporate / Business Law_normalized_1overN_share,Criminal Defense_normalized_1overN_share,Employment / Labor Law_normalized_1overN_share,Estate Planning / Probate / Trusts_normalized_1overN_share,Family Law_normalized_1overN_share,General Practice / Other_normalized_1overN_share,Immigration Law_normalized_1overN_share,Intellectual Property Law_normalized_1overN_share,Personal Injury / Torts_normalized_1overN_share,Real Estate Law_normalized_1overN_share,Tax Law_normalized_1overN_share
22500,"Florence, SC",456,273,183,15,155,101,93,71,61,87,26,2,5,153,91,6,4.066666666666666,50.09285714285714,30.50952380952381,33.35,23.9,16.692857142857143,27.942857142857143,6.8428571428571425,0.45,2.2,48.142857142857146,27.109523809523807,1.7,0.014896214896214899,0.18349031920460496,0.11175649747078321,0.12216117216117219,0.08754578754578755,0.06114599686028259,0.1023547880690738,0.025065410779696498,0.0016483516483516488,0.008058608058608061,0.1763474620617478,0.09930228501657075,0.006227106227106228
22520,"Florence-Muscle Shoals, AL",389,244,145,24,150,97,72,62,92,76,46,2,7,127,51,9,6.749206349206349,51.84007936507936,29.036507936507935,21.490873015873014,17.83293650793651,23.578968253968252,22.196031746031746,17.6484126984127,0.5,1.4801587301587302,36.5234126984127,11.923412698412697,3.1999999999999997,0.027660681759042415,0.2124593416601613,0.11900208170699973,0.08807734842570908,0.07308580536039552,0.09663511579495185,0.09096734322144158,0.07232956023939631,0.0020491803278688526,0.006066224303929222,0.14968611761644549,0.04886644548529794,0.013114754098360654
22540,"Fond du Lac, WI",154,98,56,13,52,36,22,14,40,35,16,0,4,26,32,6,4.516666666666667,17.416666666666668,11.908333333333333,7.041666666666666,4.2749999999999995,12.633333333333333,12.283333333333333,5.991666666666666,0.0,3.1666666666666665,8.908333333333333,8.533333333333333,1.325,0.04608843537414966,0.17772108843537415,0.12151360544217688,0.07185374149659864,0.04362244897959183,0.12891156462585032,0.12534013605442176,0.06113945578231292,0.0,0.03231292517006803,0.09090136054421769,0.08707482993197278,0.013520408163265305
22660,"Fort Collins-Loveland, CO",1323,860,463,70,421,397,181,125,226,223,91,17,81,175,298,47,20.547619047619047,151.05357142857142,147.63571428571427,81.43571428571428,38.27222222222222,76.45277777777778,91.15833333333333,31.65357142857143,7.2785714285714285,37.74523809523809,63.06309523809524,97.47738095238095,16.226190476190474,0.02389258028792913,0.17564368770764122,0.17166943521594685,0.09469269102990034,0.044502583979328166,0.08889857881136953,0.1059980620155039,0.03680647840531562,0.008463455149501663,0.04388981173864895,0.07332918050941307,0.11334579180509415,0.01886766334440753
22900,"Fort Smith, AR-OK",895,500,395,64,282,231,134,121,146,154,73,7,7,209,124,34,16.698051948051948,98.95479797979797,81.67146464646464,46.997655122655125,38.11432178932179,37.069083694083695,42.40241702741703,25.969083694083693,3.1,3.3333333333333335,63.542893217893216,31.99765512265512,10.149242424242424,0.033396103896103896,0.19790959595959595,0.1633429292929293,0.09399531024531026,0.07622864357864359,0.07413816738816739,0.08480483405483406,0.05193816738816739,0.0062,0.006666666666666667,0.12708578643578644,0.06399531024531024,0.020298484848484847
23060,"Fort Wayne, IN",1859,1359,500,168,726,655,227,250,481,356,158,17,76,318,412,88,49.458333333333336,285.2865079365079,238.11031746031745,88.15119047619048,88.63055555555556,155.69126984126984,122.6126984126984,50.11349206349206,5.473015873015873,32.9,98.73730158730159,119.02222222222223,24.813095238095237,0.03639318126073094,0.20992384689956436,0.17520994662275016,0.06486474648726305,0.06521748017333008,0.11456311246598225,0.09022273613885094,0.036875270098228156,0.004027237581321467,0.02420897718910964,0.07265437938727123,0.08758073747036221,0.018258348225235643
23420,"Fresno, CA",2886,2075,811,165,962,776,482,666,311,277,161,55,75,435,466,89,56.32705627705628,404.2234848484848,278.48538961038963,292.416341991342,341.1060245310245,112.85443722943722,125.65800865800865,74.49047619047619,27.53333333333333,25.559992784992783,155.65681818181818,154.02348484848486,26.665151515151514,0.027145569290147605,0.19480649872216135,0.13420982631826006,0.14092353830908047,0.16438844555712023,0.05438768059249987,0.06055807646169092,0.035899024670109005,0.013269076305220883,0.012318068812044714,0.07501533406352684,0.07422818546914933,0.012850675428988682
23460,"Gadsden, AL",228,141,87,26,86,51,47,36,44,64,27,6,3,61,37,6,6.326623376623377,27.868290043290042,14.468290043290043,12.449242424242424,10.609956709956709,10.458766233766234,19.908766233766233,9.299999999999999,2.375,0.6742424242424243,16.668290043290042,8.83495670995671,1.0575757575757576,0.04486966933775444,0.1976474471155322,0.10261198612262443,0.08829249946271223,0.07524791992877099,0.07417564704798747,0.14119692364373215,0.06595744680851064,0.016843971631205674,0.004781861164839888,0.11821482300205705,0.0626592674465015,0.007500537287771331
23540,"Gainesville, FL",1691,1133,558,72,564,453,268,148,343,260,137,22,68,304,347,93,19.41771284271284,218.50382395382394,166.55382395382395,119.85378787878788,52.47049062049062,111.24787157287157,89.06410533910534,48.566378066378064,10.824675324675324,33.99545454545454,117.77839105339105,111.79549062049063,32.927994227994226,0.01713831671907576,0.1928542135514774,0.1470024924570379,0.10578445532108373,0.04631111263944449,0.09818876573068981,0.07860909562145219,0.04286529396855963,0.009553994108274776,0.030004814250180527,0.10395268407183673,0.09867210116548156,0.029062660395405313
23580,"Gainesville, GA",627,478,149,47,233,182,135,73,121,184,44,13,18,143,128,30,18.151190476190475,84.7797619047619,62.23690476190476,54.97857142857143,24.116666666666667,36.11309523809524,70.54523809523809,15.29404761904762,3.7916666666666665,7.876190476190476,45.477380952380955,46.661904761904765,7.977380952380952,0.03797320183303447,0.17736351862920904,0.13020272962741586,0.11501793185893606,0.05045327754532777,0.07555040844789801,0.1475841801155609,0.03199591552102013,0.007932357043235706,0.01647738593345288,0.09514096433552503,0.09761904761904765,0.016689081490336724
