year,OCC_TITLE,A_Afford_Weighted,H_Afford_Weighted
2017,"Child, family, and school social workers",0.8740795805196038,0.8740756195857581
2017,Chiropractors,0.5597973861690199,0.5597566496194443
2017,"Dentists, general",0.3130444856263398,0.3130436413181429
2017,Dietitians and nutritionists,0.6338790620409404,0.6338910593903552
2017,"Educational, vocational, and school counselors",0.6847663015326371,0.6847655382817626
2017,Landscape architects,0.55466315933156,0.5546335159616096
2017,Lawyers,0.3644967920394562,0.3645030737937816
2017,Marriage and family therapists,0.8700787684140862,0.8700038407578726
2017,Medical and public health social workers,0.689997008354539,0.6899817916681728
2017,Mental health and substance abuse social workers,0.9181444470166715,0.9181804709421955
2017,Occupational therapists,0.44783452735140694,0.44783565199195985
2017,Optometrists,0.36960768998107985,0.3696021081998317
2017,"Pediatricians, general",0.25770384510499045,0.25779920589903577
2017,Pharmacists,0.2907261770188994,0.29073306956497774
2017,Physical therapists,0.4296367588472928,0.42963808143913335
2017,Podiatrists,0.39936318499335893,0.3993521520786286
2017,Rehabilitation counselors,1.1032343424496436,1.1032847694856782
2017,Speech-language pathologists,0.4949031309895501,0.494904434959826
2017,Veterinarians,0.4171738338440414,0.41718038547916036
2018,"Architects, except landscape and naval",0.5007325234417341,0.5007626356689007
2018,Audiologists,0.5187943366894566,0.5188688769545101
2018,"Child, family, and school social workers",0.8633158933523405,0.8632961404257317
2018,Chiropractors,0.541446466881244,0.5414815021911306
2018,"Dentists, general",0.3236809207713002,0.3236795582481631
2018,Dietitians and nutritionists,0.6351845193412213,0.6352096804456312
2018,"Educational, vocational, and school counselors",0.6876286570947534,0.6876270077849507
2018,Landscape architects,0.5692534898418431,0.5692636059253363
2018,Lawyers,0.3707516017117034,0.37075163285057594
2018,Marriage and family therapists,0.840578587113907,0.8406295983000218
2018,Medical and public health social workers,0.682563795962226,0.6825884501647723
2018,Mental health and substance abuse social workers,0.9051506516758072,0.9051444516862941
2018,Occupational therapists,0.4561042955797728,0.4561124346865578
2018,Optometrists,0.3727096716429426,0.37270583514843797
2018,"Pediatricians, general",0.2700781304990498,0.27013177159590046
2018,Pharmacists,0.2944207245945185,0.29442717659016915
2018,Physical therapists,0.4361009660372198,0.43610675401747356
2018,Podiatrists,0.36580712586967395,0.3658366820845408
2018,Rehabilitation counselors,1.098465477953077,1.0983941010335496
2018,Speech-language pathologists,0.5031854894417331,0.5031848836712939
